"","Group","Subject","ACCMovWin"
"1",1,19990001,0
"2",1,19990001,0
"3",1,19990001,0
"4",1,19990001,0
"5",1,19990001,0
"6",1,19990001,0
"7",1,19990001,0
"8",1,19990001,0
"9",1,19990001,0
"10",1,19990001,0
"11",1,19990001,0
"12",1,19990001,0.333333333333333
"13",1,19990001,0.25
"14",1,19990001,0.2
"15",1,19990001,0.4
"16",1,19990001,0.5
"17",1,19990001,0.25
"18",1,19990001,0.333333333333333
"19",1,19990001,0.5
"20",1,19990001,0
"21",1,19990001,0.333333333333333
"22",1,19990001,0.333333333333333
"23",1,19990001,0.25
"24",1,19990001,0.2
"25",1,19990001,0.2
"26",1,19990001,0
"27",1,19990001,0.2
"28",1,19990001,0.25
"29",1,19990001,0.333333333333333
"30",1,19990001,0.333333333333333
"31",1,19990001,0.5
"32",1,19990001,0
"33",1,19990001,0
"34",1,19990001,0
"35",1,19990001,0
"36",1,19990001,0
"37",1,19990001,0.333333333333333
"38",1,19990001,0.25
"39",1,19990001,0.25
"40",1,19990001,0.2
"41",1,19990001,0.25
"42",1,19990001,0
"43",1,19990001,0
"44",1,19990001,0
"45",1,19990001,0
"46",1,19990001,0.333333333333333
"47",1,19990003,0.2
"48",1,19990003,0.4
"49",1,19990003,0.6
"50",1,19990003,0.6
"51",1,19990003,0.8
"52",1,19990003,0.6
"53",1,19990003,0.6
"54",1,19990003,0.4
"55",1,19990003,0.4
"56",1,19990003,0.4
"57",1,19990003,0.4
"58",1,19990003,0.4
"59",1,19990003,0.6
"60",1,19990003,0.8
"61",1,19990003,0.8
"62",1,19990003,0.8
"63",1,19990003,0.8
"64",1,19990003,0.8
"65",1,19990003,0.6
"66",1,19990003,0.4
"67",1,19990003,0.4
"68",1,19990003,0.4
"69",1,19990003,0.4
"70",1,19990003,0.6
"71",1,19990003,0.6
"72",1,19990003,0.8
"73",1,19990003,0.8
"74",1,19990003,0.8
"75",1,19990003,0.6
"76",1,19990003,0.8
"77",1,19990003,0.8
"78",1,19990003,0.8
"79",1,19990003,0.75
"80",1,19990003,1
"81",1,19990003,0.75
"82",1,19990003,0.75
"83",1,19990003,0.75
"84",1,19990003,0.6
"85",1,19990003,0.4
"86",1,19990003,0.4
"87",1,19990003,0.2
"88",1,19990003,0
"89",1,19990003,0
"90",1,19990003,0.2
"91",1,19990003,0.4
"92",1,19990003,0.6
"93",1,19990011,0.4
"94",1,19990011,0.4
"95",1,19990011,0.6
"96",1,19990011,0.4
"97",1,19990011,0.6
"98",1,19990011,0.6
"99",1,19990011,0.8
"100",1,19990011,0.6
"101",1,19990011,0.6
"102",1,19990011,0.4
"103",1,19990011,0.2
"104",1,19990011,0
"105",1,19990011,0
"106",1,19990011,0.2
"107",1,19990011,0.4
"108",1,19990011,0.6
"109",1,19990011,0.8
"110",1,19990011,0.8
"111",1,19990011,0.8
"112",1,19990011,0.6
"113",1,19990011,0.4
"114",1,19990011,0.4
"115",1,19990011,0.6
"116",1,19990011,0.4
"117",1,19990011,0.6
"118",1,19990011,0.8
"119",1,19990011,0.8
"120",1,19990011,0.8
"121",1,19990011,0.8
"122",1,19990011,0.6
"123",1,19990011,0.4
"124",1,19990011,0.4
"125",1,19990011,0.4
"126",1,19990011,0.6
"127",1,19990011,0.8
"128",1,19990011,0.8
"129",1,19990011,0.75
"130",1,19990011,0.5
"131",1,19990011,0.5
"132",1,19990011,0.25
"133",1,19990011,0.5
"134",1,19990011,0.6
"135",1,19990011,0.8
"136",1,19990011,0.8
"137",1,19990011,1
"138",1,19990011,0.8
"139",1,19990015,0.4
"140",1,19990015,0.4
"141",1,19990015,0.4
"142",1,19990015,0.6
"143",1,19990015,0.8
"144",1,19990015,0.8
"145",1,19990015,0.6
"146",1,19990015,0.6
"147",1,19990015,0.4
"148",1,19990015,0.2
"149",1,19990015,0
"150",1,19990015,0
"151",1,19990015,0
"152",1,19990015,0.2
"153",1,19990015,0.2
"154",1,19990015,0.2
"155",1,19990015,0.4
"156",1,19990015,0.6
"157",1,19990015,0.6
"158",1,19990015,0.75
"159",1,19990015,1
"160",1,19990015,1
"161",1,19990015,1
"162",1,19990015,1
"163",1,19990015,0.8
"164",1,19990015,0.6
"165",1,19990015,0.6
"166",1,19990015,0.6
"167",1,19990015,0.4
"168",1,19990015,0.4
"169",1,19990015,0.6
"170",1,19990015,0.4
"171",1,19990015,0.4
"172",1,19990015,0.4
"173",1,19990015,0.4
"174",1,19990015,0.2
"175",1,19990015,0.4
"176",1,19990015,0.4
"177",1,19990015,0.6
"178",1,19990015,0.6
"179",1,19990015,0.8
"180",1,19990015,0.75
"181",1,19990015,0.5
"182",1,19990015,0.5
"183",1,19990015,0.75
"184",1,19990015,0.75
"185",2,19990006,1
"186",2,19990006,0.8
"187",2,19990006,0.6
"188",2,19990006,0.4
"189",2,19990006,0.4
"190",2,19990006,0.4
"191",2,19990006,0.6
"192",2,19990006,0.8
"193",2,19990006,0.8
"194",2,19990006,0.8
"195",2,19990006,0.6
"196",2,19990006,0.4
"197",2,19990006,0.2
"198",2,19990006,0.2
"199",2,19990006,0.2
"200",2,19990006,0.2
"201",2,19990006,0.2
"202",2,19990006,0.2
"203",2,19990006,0.4
"204",2,19990006,0.2
"205",2,19990006,0.2
"206",2,19990006,0.4
"207",2,19990006,0.6
"208",2,19990006,0.6
"209",2,19990006,0.8
"210",2,19990006,0.8
"211",2,19990006,0.6
"212",2,19990006,0.6
"213",2,19990006,0.4
"214",2,19990006,0.2
"215",2,19990006,0.4
"216",2,19990006,0.4
"217",2,19990006,0.4
"218",2,19990006,0.4
"219",2,19990006,0.6
"220",2,19990006,0.6
"221",2,19990006,0.6
"222",2,19990006,0.6
"223",2,19990006,0.6
"224",2,19990006,0.4
"225",2,19990006,0.4
"226",2,19990006,0.6
"227",2,19990006,0.6
"228",2,19990006,0.6
"229",2,19990006,0.8
"230",2,19990006,0.6
"231",2,19990010,0.6
"232",2,19990010,0.8
"233",2,19990010,0.8
"234",2,19990010,0.6
"235",2,19990010,0.6
"236",2,19990010,0.6
"237",2,19990010,0.4
"238",2,19990010,0.6
"239",2,19990010,0.8
"240",2,19990010,0.6
"241",2,19990010,0.6
"242",2,19990010,0.8
"243",2,19990010,0.8
"244",2,19990010,0.8
"245",2,19990010,1
"246",2,19990010,1
"247",2,19990010,1
"248",2,19990010,1
"249",2,19990010,1
"250",2,19990010,1
"251",2,19990010,1
"252",2,19990010,1
"253",2,19990010,1
"254",2,19990010,1
"255",2,19990010,1
"256",2,19990010,1
"257",2,19990010,1
"258",2,19990010,1
"259",2,19990010,1
"260",2,19990010,1
"261",2,19990010,1
"262",2,19990010,1
"263",2,19990010,1
"264",2,19990010,1
"265",2,19990010,1
"266",2,19990010,1
"267",2,19990010,1
"268",2,19990010,1
"269",2,19990010,1
"270",2,19990010,1
"271",2,19990010,0.75
"272",2,19990010,0.8
"273",2,19990010,0.8
"274",2,19990010,0.6
"275",2,19990010,0.6
"276",2,19990010,0.6
