C:\Users\peter\Desktop\Touchscreen DOE\Subject Data\EMerge 11 26 18\TDOE_11_26_18.emrg2,,,,,,,,,,,,,
ExperimentName,Subject,Group,Buzz,Prompt,SessionDate,Block,ComparisonStimuli.ACC,ComparisonStimuli.RESP,ComparisonStimuli.RT,CorrectAnswer,NumericCorrectAnswer,FbMovie,SampleStimulus
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,48,1,Right,2186,Right,1,Trolls13.avi,Square_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,49,1,Left,2189,Left,2,Moana13.avi,Circle_Solid.png
DOP_Adults_USE_MLTR,18999001,1,1,2,10/3/18,50,1,Right,1172,Right,1,Trolls14.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,1,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,2,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,3,1,Right,1223,Right,1,Moana01.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,4,1,Left,1766,Left,2,Moana02.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,5,1,Left,1029,Left,2,Moana03.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,6,1,Right,760,Right,1,Moana04.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,7,1,Left,668,Left,2,Moana05.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,8,1,Left,985,Left,2,Moana06.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,9,1,Left,768,Left,2,Moana07.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,10,1,Left,575,Left,2,Moana08.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,11,1,Right,719,Right,1,Moana09.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,12,1,Right,740,Right,1,Moana10.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,13,1,Right,828,Right,1,Moana11.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,14,1,Left,621,Left,2,Moana12.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,15,1,Right,482,Right,1,Moana13.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,16,1,Right,579,Right,1,Moana14.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,17,1,Left,702,Left,2,Moana15.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,18,1,Right,492,Right,1,Moana16.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,19,1,Left,782,Left,2,Moana17.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,20,1,Left,827,Left,2,Moana18.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,21,1,Right,509,Right,1,Moana19.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,22,1,Right,703,Right,1,Moana20.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,23,1,Left,674,Left,2,Moana21.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,24,1,Right,499,Right,1,Moana22.avi,Square_Solid.png
